Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Feb  9 15:13 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/rtl/testbench.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[DBG] cycle=0 pc=0x80000000
[DBG-T] t=921000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=931000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=941000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=951000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=961000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=971000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=981000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=991000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1001000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1011000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1021000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1031000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1041000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1051000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1061000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1071000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1081000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1091000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1101000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1111000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1121000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1131000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1141000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1151000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1161000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1171000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1181000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1191000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1201000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1211000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1221000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1231000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1241000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1251000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1261000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1271000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1281000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1291000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1301000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1311000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1321000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1331000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1341000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1351000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1361000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1371000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1381000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1391000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1401000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1411000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1421000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1431000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1441000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1451000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1461000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1471000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1481000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1491000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1501000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1511000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1521000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1531000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1541000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1551000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1561000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1571000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1581000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1591000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1601000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1611000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1621000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1631000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1641000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1651000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1661000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1671000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1681000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1691000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1701000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1711000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1721000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1731000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1741000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1751000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1761000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1771000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1781000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1791000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1801000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1811000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1821000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1831000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1841000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1851000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1861000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1871000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1881000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1891000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1901000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1911000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1921000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1931000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1941000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1951000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1961000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1971000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1981000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=1991000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2001000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2011000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2021000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2031000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2041000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2051000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2061000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2071000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2081000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2091000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2101000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2111000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2121000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2131000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2141000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2151000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2161000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2171000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2181000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2191000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2201000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2211000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2221000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2231000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2241000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2251000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2261000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2271000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2281000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2291000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2301000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2311000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2321000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2331000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2341000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2351000 rst=0 pc=0xxxxxxxxx
